label,type,symbol,H,B,tw,tf,r
SHH,スーパーハイスレンドH,SH,950,400,19,28,18
SHH,スーパーハイスレンドH,SH,950,400,19,32,18
SHH,スーパーハイスレンドH,SH,950,400,19,36,18
SHH,スーパーハイスレンドH,SH,950,400,19,40,18
SHH,スーパーハイスレンドH,SH,1000,250,16,22,18
SHH,スーパーハイスレンドH,SH,1000,250,16,25,18
SHH,スーパーハイスレンドH,SH,1000,250,16,28,18
SHH,スーパーハイスレンドH,SH,1000,250,16,32,18
SHH,スーパーハイスレンドH,SH,1000,250,19,25,18
SHH,スーパーハイスレンドH,SH,1000,250,19,28,18
SHH,スーパーハイスレンドH,SH,1000,250,19,32,18
SHH,スーパーハイスレンドH,SH,1000,250,19,36,18
SHH,スーパーハイスレンドH,SH,1000,250,19,40,18
SHH,スーパーハイスレンドH,SH,1000,300,16,22,18
SHH,スーパーハイスレンドH,SH,1000,300,16,25,18
SHH,スーパーハイスレンドH,SH,1000,300,16,28,18
SHH,スーパーハイスレンドH,SH,1000,300,16,32,18
SHH,スーパーハイスレンドH,SH,1000,300,19,25,18
SHH,スーパーハイスレンドH,SH,1000,300,19,28,18
SHH,スーパーハイスレンドH,SH,1000,300,19,32,18
SHH,スーパーハイスレンドH,SH,1000,300,19,36,18
SHH,スーパーハイスレンドH,SH,1000,300,19,40,18
SHH,スーパーハイスレンドH,SH,1000,350,16,22,18
SHH,スーパーハイスレンドH,SH,1000,350,16,25,18
SHH,スーパーハイスレンドH,SH,1000,350,16,28,18
SHH,スーパーハイスレンドH,SH,1000,350,16,32,18
SHH,スーパーハイスレンドH,SH,1000,350,19,25,18
SHH,スーパーハイスレンドH,SH,1000,350,19,28,18
SHH,スーパーハイスレンドH,SH,1000,350,19,32,18
SHH,スーパーハイスレンドH,SH,1000,350,19,36,18
SHH,スーパーハイスレンドH,SH,1000,350,19,40,18
SHH,スーパーハイスレンドH,SH,1000,400,16,22,18
SHH,スーパーハイスレンドH,SH,1000,400,16,25,18
SHH,スーパーハイスレンドH,SH,1000,400,16,28,18
SHH,スーパーハイスレンドH,SH,1000,400,16,32,18
SHH,スーパーハイスレンドH,SH,1000,400,19,25,18
SHH,スーパーハイスレンドH,SH,1000,400,19,28,18
SHH,スーパーハイスレンドH,SH,1000,400,19,32,18
SHH,スーパーハイスレンドH,SH,1000,400,19,36,18
SHH,スーパーハイスレンドH,SH,1000,400,19,40,18
BH,その他,BH,650,350,12,28,0
